taluka_name,district_id,district_name,state_name,taluka_id
Andaman & Nicobar_District_1_Taluka_1,1,Andaman & Nicobar_District_1,Andaman & Nicobar,1
Andaman & Nicobar_District_1_Taluka_2,1,Andaman & Nicobar_District_1,Andaman & Nicobar,2
Andaman & Nicobar_District_1_Taluka_3,1,Andaman & Nicobar_District_1,Andaman & Nicobar,3
Andaman & Nicobar_District_1_Taluka_4,1,Andaman & Nicobar_District_1,Andaman & Nicobar,4
Andaman & Nicobar_District_1_Taluka_5,1,Andaman & Nicobar_District_1,Andaman & Nicobar,5
Andaman & Nicobar_District_1_Taluka_6,1,Andaman & Nicobar_District_1,Andaman & Nicobar,6
Andaman & Nicobar_District_1_Taluka_7,1,Andaman & Nicobar_District_1,Andaman & Nicobar,7
Andaman & Nicobar_District_1_Taluka_8,1,Andaman & Nicobar_District_1,Andaman & Nicobar,8
Andaman & Nicobar_District_1_Taluka_9,1,Andaman & Nicobar_District_1,Andaman & Nicobar,9
Andaman & Nicobar_District_10_Taluka_1,2,Andaman & Nicobar_District_10,Andaman & Nicobar,10
Andaman & Nicobar_District_10_Taluka_10,2,Andaman & Nicobar_District_10,Andaman & Nicobar,11
Andaman & Nicobar_District_10_Taluka_11,2,Andaman & Nicobar_District_10,Andaman & Nicobar,12
Andaman & Nicobar_District_10_Taluka_2,2,Andaman & Nicobar_District_10,Andaman & Nicobar,13
Andaman & Nicobar_District_10_Taluka_3,2,Andaman & Nicobar_District_10,Andaman & Nicobar,14
Andaman & Nicobar_District_10_Taluka_4,2,Andaman & Nicobar_District_10,Andaman & Nicobar,15
Andaman & Nicobar_District_10_Taluka_5,2,Andaman & Nicobar_District_10,Andaman & Nicobar,16
Andaman & Nicobar_District_10_Taluka_6,2,Andaman & Nicobar_District_10,Andaman & Nicobar,17
Andaman & Nicobar_District_10_Taluka_7,2,Andaman & Nicobar_District_10,Andaman & Nicobar,18
Andaman & Nicobar_District_10_Taluka_8,2,Andaman & Nicobar_District_10,Andaman & Nicobar,19
Andaman & Nicobar_District_10_Taluka_9,2,Andaman & Nicobar_District_10,Andaman & Nicobar,20
Andaman & Nicobar_District_11_Taluka_1,3,Andaman & Nicobar_District_11,Andaman & Nicobar,21
Andaman & Nicobar_District_11_Taluka_2,3,Andaman & Nicobar_District_11,Andaman & Nicobar,22
Andaman & Nicobar_District_11_Taluka_3,3,Andaman & Nicobar_District_11,Andaman & Nicobar,23
Andaman & Nicobar_District_11_Taluka_4,3,Andaman & Nicobar_District_11,Andaman & Nicobar,24
Andaman & Nicobar_District_11_Taluka_5,3,Andaman & Nicobar_District_11,Andaman & Nicobar,25
Andaman & Nicobar_District_12_Taluka_1,4,Andaman & Nicobar_District_12,Andaman & Nicobar,26
Andaman & Nicobar_District_12_Taluka_10,4,Andaman & Nicobar_District_12,Andaman & Nicobar,27
Andaman & Nicobar_District_12_Taluka_2,4,Andaman & Nicobar_District_12,Andaman & Nicobar,28
Andaman & Nicobar_District_12_Taluka_3,4,Andaman & Nicobar_District_12,Andaman & Nicobar,29
Andaman & Nicobar_District_12_Taluka_4,4,Andaman & Nicobar_District_12,Andaman & Nicobar,30
Andaman & Nicobar_District_12_Taluka_5,4,Andaman & Nicobar_District_12,Andaman & Nicobar,31
Andaman & Nicobar_District_12_Taluka_6,4,Andaman & Nicobar_District_12,Andaman & Nicobar,32
Andaman & Nicobar_District_12_Taluka_7,4,Andaman & Nicobar_District_12,Andaman & Nicobar,33
Andaman & Nicobar_District_12_Taluka_8,4,Andaman & Nicobar_District_12,Andaman & Nicobar,34
Andaman & Nicobar_District_12_Taluka_9,4,Andaman & Nicobar_District_12,Andaman & Nicobar,35
Andaman & Nicobar_District_13_Taluka_1,5,Andaman & Nicobar_District_13,Andaman & Nicobar,36
Andaman & Nicobar_District_13_Taluka_10,5,Andaman & Nicobar_District_13,Andaman & Nicobar,37
Andaman & Nicobar_District_13_Taluka_11,5,Andaman & Nicobar_District_13,Andaman & Nicobar,38
Andaman & Nicobar_District_13_Taluka_12,5,Andaman & Nicobar_District_13,Andaman & Nicobar,39
Andaman & Nicobar_District_13_Taluka_13,5,Andaman & Nicobar_District_13,Andaman & Nicobar,40
Andaman & Nicobar_District_13_Taluka_14,5,Andaman & Nicobar_District_13,Andaman & Nicobar,41
Andaman & Nicobar_District_13_Taluka_2,5,Andaman & Nicobar_District_13,Andaman & Nicobar,42
Andaman & Nicobar_District_13_Taluka_3,5,Andaman & Nicobar_District_13,Andaman & Nicobar,43
Andaman & Nicobar_District_13_Taluka_4,5,Andaman & Nicobar_District_13,Andaman & Nicobar,44
Andaman & Nicobar_District_13_Taluka_5,5,Andaman & Nicobar_District_13,Andaman & Nicobar,45
Andaman & Nicobar_District_13_Taluka_6,5,Andaman & Nicobar_District_13,Andaman & Nicobar,46
Andaman & Nicobar_District_13_Taluka_7,5,Andaman & Nicobar_District_13,Andaman & Nicobar,47
Andaman & Nicobar_District_13_Taluka_8,5,Andaman & Nicobar_District_13,Andaman & Nicobar,48
Andaman & Nicobar_District_13_Taluka_9,5,Andaman & Nicobar_District_13,Andaman & Nicobar,49
Andaman & Nicobar_District_14_Taluka_1,6,Andaman & Nicobar_District_14,Andaman & Nicobar,50
